R3,67.59,71.58,90.00,0\,CPF0201D7K68C1_0201
R4,67.10,94.38,90.00,0,CPF0201D7K68C1_0201
R5,65.73,70.19,180.00,10K,ERA-1AEB3401C_0201
R7,44.30,69.02,0.00,10K,ERA-1AEB3401C_0201
R8,54.40,70.11,180.00,10K,ERA-1AEB3401C_0201
R9,64.58,87.05,270.00,10k,CPF0201D7K68C1_0201
R_TYPE_SEL,50.64,88.53,0.00,2.2,CPF0201D7K68C1_0201
SJ1,49.71,90.73,270.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,47.23,69.58,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,58.12,69.56,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,69.25,69.57,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,73.50,67.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,75.95,69.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,79.25,70.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,36.82,74.21,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,37.22,71.61,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,40.18,67.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,38.18,69.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,42.50,67.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,73.55,69.85,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,74.25,88.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,77.28,88.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,75.70,67.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,39.17,75.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,77.81,68.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,65.84,80.61,90.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,62.90,70.03,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,58.37,84.42,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,62.05,74.91,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
